Date,SWE (in),Snow Depth (in),Precipitation (in),Air Temp (degF),Air Temp Max (degF),Air Temp Min (degF),Air Temp Avg (degF)
8/6/86,,,,,-58,-58,-58
8/7/86,0,,0,57,21,9,13
8/8/86,0,,0,40,30,9,18
8/9/86,0,,0,34,29,6,17
8/10/86,0,,0,34,29,6,17
8/11/86,0,,0,40,65,38,49
8/12/86,0,,0,39,63,37,48
8/13/86,0,,0.6,34,68,34,51
8/14/86,0,,0.6,37,66,35,50
8/15/86,0,,0.6,31,41,31,33
8/16/86,0,,0.6,33,,,
8/17/86,0,,0.6,,72,37,53
8/18/86,0,,0.6,41,72,41,52
8/19/86,0,,0.8,46,72,42,56
8/20/86,0,,0.8,39,67,38,49
8/21/86,0,,0.9,44,67,39,50
8/22/86,0,,1.1,43,70,39,50
8/23/86,0,,1.3,47,58,43,48
8/24/86,0,,1.9,42,60,41,48
8/25/86,0,,1.9,41,62,38,47
8/26/86,0,,2,35,70,35,48
8/27/86,0,,2.4,45,67,42,51
8/28/86,0,,2.4,44,58,43,47
8/29/86,0,,2.5,43,55,35,45
8/30/86,0,,2.6,34,62,34,45
8/31/86,0,,2.6,36,61,33,46
9/1/86,0,,2.9,34,57,32,42
9/2/86,0,,3,30,56,29,40
9/3/86,0,,3,29,62,28,44
9/4/86,0,,3,32,63,31,45
9/5/86,0,,3,31,67,31,46
9/6/86,0,,3,30,66,30,47
9/7/86,0,,3,41,61,37,46
9/8/86,0,,3.1,40,51,37,40
9/9/86,0,,4.1,37,46,35,39
9/10/86,0,,5,32,47,25,33
9/11/86,0,,5.1,23,57,22,38
9/12/86,0,,5.1,26,55,26,41
9/13/86,0,,5.1,41,58,39,47
9/14/86,0,,5.1,35,58,32,45
9/15/86,0,,5.1,38,58,36,45
9/16/86,0,,5.2,38,55,32,42
9/17/86,0,,5.2,29,54,28,40
9/18/86,0,,5.2,37,48,31,40
9/19/86,0,,5.2,36,51,36,44
9/20/86,0,,5.2,42,51,41,45
9/21/86,0,,5.2,39,56,34,43
9/22/86,0,,5.7,34,46,32,36
9/23/86,0,,6.6,33,40,32,35
9/24/86,0,,7.4,31,35,21,27
9/25/86,0.1,,8.2,25,34,25,28
9/26/86,0.8,,9,26,42,26,30
9/27/86,0.9,,9.2,27,44,27,35
9/28/86,0.6,,9.3,32,49,29,37
9/29/86,0.4,,9.3,29,48,22,32
9/30/86,0.2,,9.5,24,46,21,32
10/1/86,0,,0,29,50,28,38
10/2/86,0,,0,36,39,32,35
10/3/86,0,,0.2,31,38,14,28
10/4/86,0,,0.4,10,51,10,29
10/5/86,0,,0.4,25,55,23,34
10/6/86,0,,0.4,31,48,27,36
10/7/86,0,,0.5,25,53,24,36
10/8/86,0,,0.5,27,53,25,35
10/9/86,0,,0.5,25,50,24,35
10/10/86,0,,0.5,30,40,27,33
10/11/86,0,,0.8,29,34,26,30
10/12/86,0.7,,1.6,21,,,
10/13/86,0.7,,1.7,,47,3,22
10/14/86,0.6,,1.8,11,59,11,29
10/15/86,0.6,,1.8,12,56,11,30
10/16/86,0.5,,1.9,18,55,17,33
10/17/86,0.8,,1.9,17,,,
10/18/86,0.8,,1.9,,45,27,36
10/19/86,1.1,,2,37,38,34,36
10/20/86,1.1,,2.4,27,43,23,30
10/21/86,1.3,,2.7,21,38,16,24
10/22/86,1.3,,2.7,17,43,14,26
10/23/86,1.7,,2.7,11,45,11,27
10/24/86,2,,2.7,15,,,
10/25/86,2.6,,2.7,,,,
10/26/86,2.6,,2.7,,57,14,31
10/27/86,2.8,,2.7,19,28,18,20
10/28/86,2.8,,2.7,21,53,20,33
10/29/86,2.8,,2.7,30,49,24,34
10/30/86,2.8,,2.7,27,46,25,35
10/31/86,3,,2.7,30,37,28,31
11/1/86,4,,3.6,29,36,27,30
11/2/86,5.3,,5,22,47,16,28
11/3/86,5.1,,5,23,55,21,32
11/4/86,4.9,,5.1,16,48,13,26
11/5/86,4.8,,5.1,13,57,11,28
11/6/86,4.5,,5.1,20,37,12,23
11/7/86,4.9,,5.6,7,21,5,11
11/8/86,5,,5.8,10,19,-9,7
11/9/86,5,,5.9,-9,36,-11,10
11/10/86,5,,5.9,16,36,1,15
11/11/86,4.8,,5.9,9,49,1,23
11/12/86,4.7,,5.9,11,45,8,23
11/13/86,4.6,,5.9,9,42,8,22
11/14/86,4.5,,5.9,12,43,11,25
11/15/86,4.5,,5.9,23,42,16,28
11/16/86,4.5,,5.9,20,40,20,28
11/17/86,4.5,,5.9,23,44,21,30
11/18/86,4.5,,5.9,17,43,17,30
11/19/86,5.5,,6.4,28,41,15,29
11/20/86,5.5,,6.7,12,59,11,26
11/21/86,5.5,,6.7,13,46,12,27
11/22/86,5.9,,6.9,23,37,14,23
11/23/86,5.9,,6.9,3,36,0,14
11/24/86,6,,6.9,15,56,11,28
11/25/86,6,,6.9,12,54,12,26
11/26/86,6.7,,7.6,20,37,2,18
11/27/86,6.7,,7.6,4,54,3,21
11/28/86,6.7,,7.6,10,59,10,27
11/29/86,6.7,,7.6,21,38,17,28
11/30/86,6.9,,7.7,15,30,6,18
12/1/86,6.9,,7.7,3,45,3,20
12/2/86,6.9,,7.7,13,46,10,24
12/3/86,7,,7.8,8,50,7,22
12/4/86,6.9,,7.8,9,47,8,23
12/5/86,6.7,,7.8,22,35,17,26
12/6/86,6.8,,8,24,30,20,24
12/7/86,7.4,,8.4,20,34,7,20
12/8/86,7.4,,8.4,4,36,2,14
12/9/86,7.6,,8.4,9,22,-16,7
12/10/86,7.6,,8.4,-16,33,-18,2
12/11/86,7.7,,8.5,0,44,-2,13
12/12/86,7.7,,8.5,3,39,2,16
12/13/86,7.4,,8.5,5,41,3,16
12/14/86,7.4,,8.5,3,41,0,16
12/15/86,7.6,,8.6,16,39,10,21
12/16/86,7.6,,8.6,13,38,6,19
12/17/86,7.6,,8.6,10,43,6,18
12/18/86,7.6,,8.6,8,35,4,17
12/19/86,7.6,,8.6,1,36,0,14
12/20/86,7.6,,8.6,-1,35,-3,11
12/21/86,7.6,,8.6,11,36,1,14
12/22/86,7.6,,8.6,0,43,-1,13
12/23/86,7.7,,8.7,-1,42,-1,14
